date,open,close,high,low,volume
2020-08-13 11:20:00,10.51,10.52,10.52,10.51,1591.75
2020-08-13 11:15:00,10.53,10.51,10.53,10.51,3511.55
2020-08-13 11:10:00,10.53,10.53,10.54,10.52,2688.0
2020-08-13 11:05:00,10.54,10.53,10.54,10.53,2520.53
2020-08-13 11:00:00,10.54,10.53,10.54,10.53,1692.0
2020-08-13 10:55:00,10.53,10.54,10.54,10.52,3975.26
2020-08-13 10:50:00,10.52,10.54,10.54,10.52,5746.74
2020-08-13 10:45:00,10.52,10.52,10.53,10.52,3051.0
2020-08-13 10:40:00,10.54,10.52,10.54,10.52,2402.0
2020-08-13 10:35:00,10.52,10.54,10.54,10.52,5592.0
2020-08-13 10:30:00,10.53,10.54,10.54,10.52,4612.0
2020-08-13 10:25:00,10.53,10.52,10.54,10.52,3712.0
2020-08-13 10:20:00,10.52,10.53,10.53,10.51,5068.3
2020-08-13 10:15:00,10.51,10.51,10.53,10.51,4111.0
2020-08-13 10:10:00,10.52,10.51,10.54,10.51,6356.93
2020-08-13 10:05:00,10.51,10.52,10.53,10.51,9692.6
2020-08-13 10:00:00,10.51,10.52,10.54,10.51,4505.0
2020-08-13 09:55:00,10.54,10.52,10.56,10.51,11651.0
2020-08-13 09:50:00,10.54,10.53,10.55,10.52,10754.6
2020-08-13 09:45:00,10.56,10.55,10.57,10.54,7694.0
2020-08-13 09:40:00,10.54,10.56,10.57,10.54,8601.81
2020-08-13 09:35:00,10.6,10.54,10.6,10.53,20114.4
2020-08-12 15:00:00,10.56,10.56,10.56,10.55,3840.1
2020-08-12 14:55:00,10.55,10.56,10.56,10.54,7745.1
2020-08-12 14:50:00,10.54,10.55,10.56,10.54,5105.75
2020-08-12 14:45:00,10.54,10.54,10.55,10.53,3267.0
2020-08-12 14:40:00,10.54,10.53,10.54,10.52,5007.0
2020-08-12 14:35:00,10.52,10.54,10.54,10.51,3966.82
2020-08-12 14:30:00,10.52,10.51,10.53,10.51,4288.6
2020-08-12 14:25:00,10.52,10.52,10.54,10.51,5204.0
2020-08-12 14:20:00,10.51,10.52,10.53,10.5,3634.86
2020-08-12 14:15:00,10.49,10.5,10.51,10.49,4372.42
2020-08-12 14:10:00,10.48,10.5,10.5,10.48,6406.47
2020-08-12 14:05:00,10.49,10.49,10.5,10.48,3602.0
2020-08-12 14:00:00,10.48,10.49,10.5,10.48,6773.83
2020-08-12 13:55:00,10.5,10.48,10.51,10.48,7723.89
2020-08-12 13:50:00,10.5,10.5,10.51,10.49,3934.11
2020-08-12 13:45:00,10.51,10.49,10.51,10.49,4020.0
2020-08-12 13:40:00,10.52,10.51,10.52,10.5,4766.0
2020-08-12 13:35:00,10.52,10.51,10.52,10.49,5838.61
2020-08-12 13:30:00,10.49,10.53,10.53,10.48,8877.97
2020-08-12 13:25:00,10.47,10.48,10.5,10.46,4617.0
2020-08-12 13:20:00,10.49,10.48,10.49,10.46,13653.3
2020-08-12 13:15:00,10.5,10.49,10.52,10.47,10133.0
2020-08-12 13:10:00,10.47,10.49,10.49,10.46,8456.23
2020-08-12 13:05:00,10.5,10.48,10.5,10.47,12230.8
2020-08-12 11:30:00,10.51,10.5,10.52,10.5,4684.0
2020-08-12 11:25:00,10.51,10.52,10.54,10.51,5471.91
2020-08-12 11:20:00,10.54,10.51,10.55,10.51,7529.0
2020-08-12 11:15:00,10.54,10.54,10.55,10.52,12232.0
2020-08-12 11:10:00,10.54,10.54,10.56,10.53,13414.0
2020-08-12 11:05:00,10.55,10.53,10.56,10.53,7921.0
2020-08-12 11:00:00,10.53,10.55,10.55,10.53,8512.0
2020-08-12 10:55:00,10.53,10.54,10.54,10.52,9573.31
2020-08-12 10:50:00,10.53,10.54,10.54,10.52,5410.0
2020-08-12 10:45:00,10.53,10.53,10.54,10.52,5355.27
2020-08-12 10:40:00,10.53,10.53,10.55,10.52,8165.0
2020-08-12 10:35:00,10.53,10.53,10.54,10.51,10391.7
2020-08-12 10:30:00,10.5,10.53,10.54,10.49,6392.0
2020-08-12 10:25:00,10.5,10.5,10.53,10.49,10967.6
2020-08-12 10:20:00,10.5,10.48,10.51,10.47,15594.1
2020-08-12 10:15:00,10.55,10.49,10.55,10.48,18496.0
2020-08-12 10:10:00,10.55,10.55,10.57,10.55,6497.71
2020-08-12 10:05:00,10.56,10.55,10.58,10.55,5863.01
2020-08-12 10:00:00,10.59,10.56,10.59,10.56,8777.28
2020-08-12 09:55:00,10.58,10.59,10.59,10.54,20811.0
2020-08-12 09:50:00,10.56,10.57,10.59,10.56,20564.0
2020-08-12 09:45:00,10.56,10.57,10.59,10.55,16508.0
2020-08-12 09:40:00,10.48,10.57,10.6,10.47,25622.0
2020-08-12 09:35:00,10.49,10.48,10.54,10.47,24591.8
2020-08-11 15:00:00,10.48,10.5,10.5,10.48,10237.1
2020-08-11 14:55:00,10.5,10.49,10.51,10.46,19996.9
2020-08-11 14:50:00,10.53,10.51,10.54,10.5,11577.0
2020-08-11 14:45:00,10.54,10.53,10.56,10.53,8217.0
2020-08-11 14:40:00,10.56,10.54,10.56,10.53,9856.0
2020-08-11 14:35:00,10.58,10.56,10.59,10.56,9932.0
2020-08-11 14:30:00,10.57,10.58,10.6,10.56,8109.01
2020-08-11 14:25:00,10.57,10.57,10.59,10.55,11141.2
